SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Mon May 06 13:17:07 CDT 2013
User: Students
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Number of Sampled Component Spectra: 1
Spectrometers: USB4H00887
Integration Time (usec): 50000 (USB4H00887)
Spectra Averaged: 10 (USB4H00887)
Boxcar Smoothing: 5 (USB4H00887)
Correct for Electrical Dark: No (USB4H00887)
Strobe/Lamp Enabled: No (USB4H00887)
Correct for Detector Non-linearity: No (USB4H00887)
Correct for Stray Light: No (USB4H00887)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
345.83	-0.129
346.05	-0.129
346.26	-0.129
346.48	-0.000
346.70	-0.000
346.92	-0.447
347.14	-0.271
347.35	-0.283
347.57	-0.282
347.79	-0.180
348.01	-0.246
348.23	-0.303
348.44	-0.405
348.66	-0.208
348.88	-0.094
349.10	-0.088
349.32	-0.030
349.53	-0.051
349.75	-0.079
349.97	-0.077
350.19	-0.115
350.41	-0.121
350.62	-0.112
350.84	-0.098
351.06	-0.109
351.28	-0.110
351.50	-0.094
351.71	-0.117
351.93	-0.133
352.15	-0.094
352.37	-0.128
352.58	-0.095
352.80	-0.083
353.02	-0.062
353.24	-0.054
353.46	-0.072
353.67	-0.151
353.89	-0.168
354.11	-0.117
354.33	-0.131
354.54	-0.149
354.76	-0.111
354.98	-0.073
355.20	-0.117
355.41	-0.101
355.63	-0.080
355.85	-0.068
356.07	-0.045
356.28	-0.044
356.50	-0.061
356.72	-0.049
356.94	-0.033
357.15	-0.031
357.37	-0.076
357.59	-0.065
357.81	-0.087
358.02	-0.079
358.24	-0.040
358.46	-0.029
358.68	-0.018
358.89	-0.014
359.11	-0.023
359.33	-0.048
359.55	-0.048
359.76	-0.021
359.98	0.010
360.20	0.035
360.42	0.026
360.63	-0.007
360.85	0.013
361.07	0.016
361.29	0.016
361.50	0.001
361.72	-0.018
361.94	-0.027
362.15	-0.035
362.37	-0.043
362.59	-0.044
362.81	-0.085
363.02	-0.072
363.24	-0.102
363.46	-0.100
363.68	-0.130
363.89	-0.100
364.11	-0.080
364.33	-0.100
364.54	-0.080
364.76	-0.075
364.98	-0.061
365.20	-0.040
365.41	-0.012
365.63	0.023
365.85	0.024
366.06	0.044
366.28	0.048
366.50	0.077
366.71	0.166
366.93	0.138
367.15	0.138
367.37	0.136
367.58	0.154
367.80	0.116
368.02	0.125
368.23	0.139
368.45	0.138
368.67	0.142
368.88	0.107
369.10	0.066
369.32	0.040
369.53	0.042
369.75	0.035
369.97	0.042
370.19	0.056
370.40	0.055
370.62	0.033
370.84	0.060
371.05	0.083
371.27	0.143
371.49	0.169
371.70	0.207
371.92	0.235
372.14	0.227
372.35	0.229
372.57	0.224
372.79	0.182
373.00	0.163
373.22	0.125
373.44	0.072
373.65	0.061
373.87	0.055
374.09	0.030
374.30	-0.000
374.52	0.008
374.74	0.019
374.95	0.007
375.17	0.028
375.39	0.054
375.60	0.065
375.82	0.076
376.04	0.076
376.25	0.079
376.47	0.099
376.68	0.097
376.90	0.098
377.12	0.106
377.33	0.127
377.55	0.155
377.77	0.169
377.98	0.211
378.20	0.265
378.42	0.282
378.63	0.312
378.85	0.306
379.07	0.331
379.28	0.326
379.50	0.292
379.71	0.320
379.93	0.327
380.15	0.302
380.36	0.282
380.58	0.248
380.80	0.229
381.01	0.212
381.23	0.228
381.44	0.214
381.66	0.215
381.88	0.199
382.09	0.199
382.31	0.174
382.53	0.185
382.74	0.186
382.96	0.185
383.17	0.160
383.39	0.147
383.61	0.141
383.82	0.151
384.04	0.143
384.25	0.176
384.47	0.154
384.69	0.169
384.90	0.146
385.12	0.137
385.33	0.136
385.55	0.175
385.77	0.166
385.98	0.140
386.20	0.142
386.41	0.177
386.63	0.170
386.85	0.171
387.06	0.169
387.28	0.189
387.49	0.223
387.71	0.267
387.93	0.271
388.14	0.279
388.36	0.325
388.57	0.350
388.79	0.317
389.01	0.342
389.22	0.371
389.44	0.422
389.65	0.424
389.87	0.432
390.08	0.423
390.30	0.410
390.52	0.438
390.73	0.412
390.95	0.392
391.16	0.404
391.38	0.380
391.59	0.367
391.81	0.338
392.03	0.355
392.24	0.340
392.46	0.319
392.67	0.309
392.89	0.275
393.10	0.310
393.32	0.330
393.53	0.323
393.75	0.320
393.97	0.332
394.18	0.353
394.40	0.340
